 Airlines, Business Model, Region, Financial, Traffic Growth, Yields, Macro Indicators, Competition, Ishka Credit Score, Ishka Credit Score Outlook or Proxy Score, Overall credit quality
Flybe (Legacy),Regional Airline,Europe,On Watch,,,On Watch,,B-,CCC-,Critical
flydubai,Low-Cost Carrier,Middle East,NA,,NA,,,,,
flynas,Low-Cost Carrier,Middle East,,,NA,,,BB,BB,Adequate but some concerns
FlyOne,Low-Cost Carrier,Europe,NA,,NA,,,,,
FlySafair (On Watch),Low-Cost Carrier,Africa,NA,,NA,,,,,
Frontier Airlines (On Watch),Ultra-Low-Cost Carrier,North America,,,,Watch:Developing,,CCC,CCC,Critical
Garuda Indonesia (On Watch),Multi-Brand Airline Group,Asia Pacific,,,,Watch: Developing,,CCC+,CCC,Critical
Germania (Ceased Operations),Full-Service Carrier,Europe,,,,,,,,
GlobalX,Charter/ACMI,North America,,,NA,Watch:Developing,,CCC,CCC,Critical
Go First (Ceased Operations),Low-Cost Carrier,Asia Pacific,Estimate,Under Pressure,NA,,,CCC,,
GOL Linhas Aéreas Inteligentes (On Watch),Low-Cost Carrier,South America,,,,,,CCC,CCC,Critical
Grupo Aeroméxico,Full-Service Carrier,Central America,,Watch:Developing,Watch:Developing,,On Watch,B+   ,B+,Weak
Grupo SATA (On Watch),Full-Service Carrier,Europe,,,,,,CCC- ,CCC-,Critical
Grupo Viva (Ceased Operations),Ultra-Low-Cost Carrier,South America,NA,,NA,,,,,
Grupo Viva Aerobus,Ultra-Low-Cost Carrier,Central America,Deteriorating Trend,Watch:Developing,Watch:Developing,,,BB  ,B+,Weak
Gulf Air (On Watch),Full-Service Carrier,Middle East,NA,,NA,,,,,
Hainan Airlines (On Watch),Full-Service Carrier,Asia Pacific,On Watch,,,,,CCC  ,CCC,Critical
Hawaiian Airlines (Refer to Alaska Air Group),Full-Service Carrier,North America,NA,,NA,Watch:Developing,,B-,,
IAG,Multi-Brand Airline Group,Europe,,,,,,BBB- ,BBB,Stable
Iberia,Full-Service Carrier,Europe,,,,,,BB,BB,Adequate but some concerns
Iberia Express,Low-Cost Carrier,Europe,NA,,,,,,,
Icelandair Group,Full-Service Carrier,Europe,,Watch:Developing,Watch:Developing,,,BB-,BB-,Adequate but some concerns
IndiGo,Low-Cost Carrier,Asia Pacific,,,,Watch: Developing,,BB+,BB,Adequate but some concerns
ITA Airways,Full-Service Carrier,Europe,NA,,NA,,,,,
Japan Airlines,Multi-Brand Airline Group,Asia Pacific,,,,,,BBB,BBB,Stable
Jazeera Airways (Watch: Developing),Low-Cost Carrier,Middle East,,,,,,BB-,B+,Weak
Jeju Air (On Watch),Low-Cost Carrier,Asia Pacific,,,,,,B,CCC,Critical
Jet Airways (Ceased Operations),Full-Service Carrier,Asia Pacific,(On Watch),,(On Watch),,,CCC+ ,CC,Critical
Jet2 plc,Low-Cost Carrier,Europe,,,,,,BBB,BBB,Stable
JetBlue (Watch: Developing),Hybrid Airline,North America,Downward Pressures,,,Watch:Developing,,B-    ,CCC+,Critical
JetSMART,Ultra-Low-Cost Carrier,South America,NA,,NA,,(Market variances),,,
Jettime,Charter/ACMI,Europe,NA,NA,NA,,,,,
Jordan Aviation (Coverage Withdrawn),Hybrid Airline,Middle East,NA,On Watch,NA,On Watch,,,,
Juneyao Air,Full-Service Carrier,Asia Pacific,Balance sheet concerns,,,,,B-   ,B-,Weak
Kenya Airways (On Watch),Full-Service Carrier,Africa,On Watch,,,,,CCC,CCC-,Critical
Korean Air,Full-Service Carrier,Asia Pacific,,,,,,BB- ,BB-,Adequate but some concerns
Kuwait Airways (On Watch),Full-Service Carrier,Middle East,NA,,NA,,,,,
LATAM Group,Full-Service Carrier,South America,Improving Trend,,,,,BB- ,BB,Adequate but some concerns
"Lion Air Group (Lion Air, Malindo, Thai Lion)",Multi-Brand Airline Group,Asia Pacific,NA,,NA,,,,,
LOT Polish Airlines,Full-Service Carrier,Europe,,,Market-based,Watch:Developing,,,,
Lucky Air (On Watch),Low-Cost Carrier,Asia Pacific,NA,,NA,,,,,
Lufthansa Group,Multi-Brand Airline Group,Europe,,,(Downward trend),(On Watch),,BBB- ,BBB-,Stable
Lynx Air (Ceased Operations),Ultra-Low-Cost Carrier,North America,NA,Market-based,NA,,,,,
Malaysia Airlines (On Watch),Multi-Brand Airline Group,Asia Pacific,NA,,NA,,,,,
Mas,,Central America,NA,,NA,On Watch,Watch: Developing,,,
MIAT - Mongolian Airlines,Full-Service Carrier,Asia Pacific,NA,NA,NA,,,,,
MODERN Logistics,Cargo Carrier,South America,NA,,NA,,,,,
National Jet Express,Charter/ACMI,Asia Pacific,NA,,NA,,,,,
Nok Air (Coverage Withdrawn),Low-Cost Carrier,Asia Pacific,On Watch,,NA,,,CCC-,CCC-,Critical
Norse Atlantic Airways (On Watch),Low-Cost Carrier,Europe,,,,,,CCC- ,CCC-,Critical
Norwegian,Low-Cost Carrier,Europe,,,,,,BB+ ,BB+,Adequate but some concerns
Pakistan International Airlines (PIA) (On Watch),Full-Service Carrier,Asia Pacific,On Watch,,,,,CCC- ,CC,Critical
PAL Holdings,Full-Service Carrier,Asia Pacific,,,,Watch: Developing,,BB-,BB-,Adequate but some concerns
Pegasus Airlines,Low-Cost Carrier,Europe,,,,,,B+ ,B+,Weak
Plus Ultra,Hybrid Airline,Europe,NA,,NA,,,,,
Pobeda (Coverage Withdrawn),Low-Cost Carrier,Europe,NA,On Watch,NA,,,,,
Porter Airlines,Regional Airline,North America,NA,Watch:Developing,NA,,,,,
Qantas Group,Multi-Brand Airline Group,Asia Pacific,,,,,,BB   ,BB,Adequate but some concerns
Qatar Airways,Full-Service Carrier,Middle East,<p>* See Periodic Reviews</p>,,,,,BBB-,BB+,Adequate but some concerns
Qingdao Airlines (On Watch),Full-Service Carrier,Asia Pacific,NA,,NA,,,,,
Regional Express (Rex) (On Watch),Regional Airline,Asia Pacific,,,,,,B-,CCC,Critical
Republic Airways,Regional Airline,North America,,,NA,Watch:Developing,,B+,B+,Weak
Rossiya Airlines (Coverage Withdrawn),Full-Service Carrier,Europe,NA,On Watch,NA,,,,,
Royal Air Maroc,Full-Service Carrier,Africa,NA,,NA,,,,,
Royal Jordanian (On Watch),Full-Service Carrier,Middle East,*See Periodic Review – could downgrade to Red quickly,<p><br></p>,,,,CCC+,CCC+,Critical
RwandAir,Full-Service Carrier,Africa,NA,,NA,,,,,
Ryanair,Low-Cost Carrier,Europe,,,,,,A    ,A,Strong
S7 (Siberia Airlines) (Coverage Withdrawn),Full-Service Carrier,Europe,NA,On Watch,NA,,,,,
SalamAir (On Watch),Low-Cost Carrier,Middle East,NA,,NA,,,,,
SAS,Full-Service Carrier,Europe,,,,Watch:Developing,,CCC+,B-,Weak
Saudia,Full-Service Carrier,Middle East,NA,,NA,,,,,
Shaheen Air International (Ceased Operations),Full-Service Carrier,Asia Pacific,NA,,NA,,,,,
Shandong Airlines (On Watch),Full-Service Carrier,Asia Pacific,NA,,NA,,,,,
Shenzhen Airlines,Full-Service Carrier,Asia Pacific,NA,,,,,,,
Sichuan Airlines,Full-Service Carrier,Asia Pacific,NA,,NA,,,,,
Singapore Airlines Group,Multi-Brand Airline Group,Asia Pacific,,,,Watch:Developing,,A-,A-,Strong
Sky Airline,Low-Cost Carrier,South America,NA,,NA,,,,,
Skymark Airlines,Low-Cost Carrier,Asia Pacific,Downside Pressures,,,,,B,B-,Weak
SkyWest Inc.,Regional Airline,North America,,,NA,Watch:Developing,,BB ,BB,Adequate but some concerns
Smartavia (Coverage Withdrawn),Hybrid Airline,Europe,NA,On Watch,NA,,,,,
SmartLynx Latvia (Ceased Operations),Charter/ACMI,Europe,NA,,NA,,,,,
Smartwings,Hybrid Airline,Europe,NA,,NA,,,,,
South African Airways (On Watch),Full-Service Carrier,Africa,NA,,NA,,,,,
Southwest Airlines,Low-Cost Carrier,North America,,,,Watch: Developing,,BBB  ,BBB,Stable
SpiceJet (On Watch),Low-Cost Carrier,Asia Pacific,On Watch,,,,,CCC-,CCC-,Critical
Spirit Airlines (On Watch),Ultra-Low-Cost Carrier,North America,,,,Watch:Developing,,CCC  ,CCC,Critical
Spring Airlines,Low-Cost Carrier,Asia Pacific,,,,,,BB,BB,Adequate but some concerns
SriLankan Airlines (On Watch),Full-Service Carrier,Asia Pacific,,,,,,CCC,,
Star Air,Regional Airline,Asia Pacific,NA,,NA,Watch: Developing,,,,
Sun Country,Hybrid Airline,North America,,,,Watch:Developing,,BB,BB-,Adequate but some concerns
SunExpress,Full-Service Carrier,Europe,NA,,NA,,,,,
Sunwing Travel Group (now part of WestJet),Tour Operator,North America,Est.,,NA,,,,,
T’way Air (On Watch),Low-Cost Carrier,Asia Pacific,,,,,,B-  ,CCC,Critical
TAAG Angola,Full-Service Carrier,Africa,,,NA,Improving trend,Declining share on certain key routes,,,
TAP Air Portugal,Full-Service Carrier,Europe,,,,,,B+  ,B+,Weak
Thai AirAsia (On Watch),Low-Cost Carrier,Asia Pacific,,,,,,CCC,CCC,Critical
Thai Airways,Full-Service Carrier,Asia Pacific,,,,,,BB-    ,BB-,Adequate but some concerns
Thomas Cook Group (Ceased Operations),Tour Operator,Europe,(On Watch),,,(On Watch),,B+   ,CCC+,Critical
Tianjin Airlines (On Watch),Full-Service Carrier,Asia Pacific,NA,,NA,,,,,
Titan Airways,Charter/ACMI,Europe,*,*,NA,,,BB-,BB-,Adequate but some concerns
Transavia,Low-Cost Carrier,Europe,Refer to AF-KLM,,,(On Watch),,,,
TruJet (Ceased Operations),Regional Airline,Asia Pacific,NA,NA,NA,,NA,,,
TUI Group,Tour Operator,Europe,,,,,,BB,BB,Adequate but some concerns
Tunisair (On Watch),Full-Service Carrier,Africa,,,NA,,,,,
Turkish Airlines,Full-Service Carrier,Europe,,,,,,BB ,BB,Adequate but some concerns
United Airlines,Full-Service Carrier,North America,,,,Watch:Developing,,BB,BB,Adequate but some concerns
Ural Airlines (Coverage Withdrawn),Full-Service Carrier,Europe,On Watch Est.,On Watch,,,,,,
VietJet Air (On Watch),Low-Cost Carrier,Asia Pacific,,,,Watch: Developing,,CCC,CCC,Critical
Vietnam Airlines (On Watch),Full-Service Carrier,Asia Pacific,Improving Trend,,,Watch: Developing,,CCC+,CCC+,Critical
Virgin Atlantic (On Watch),Full-Service Carrier,Europe,,Watch:Developing,,,,CCC+,CCC+,Critical
Virgin Australia,Hybrid Airline,Asia Pacific,,,,,,BB-,BB-,Adequate but some concerns
Vistara,Full-Service Carrier,Asia Pacific,Estimate,,NA,,,,,
VoePass (On Watch),Regional Airline,South America,NA,,NA,,,,,
Volaris,Ultra-Low-Cost Carrier,Central America,Deteriorating Trend,Watch:Developing,Watch:Developing,,,B+  ,B,Weak
Vueling,Low-Cost Carrier,Europe,,,,,,BB-   ,BB-,Adequate but some concerns
WestJet,Hybrid Airline,North America,NA,Watch:Developing,NA,,,,,
Wizz Air,Ultra-Low-Cost Carrier,Europe,,,,On Watch,,B+  ,B,Weak
WOW (Ceased Operations),Low-Cost Carrier,Europe,On Watch,,,,,,,
Xiamen Airlines,Full-Service Carrier,Asia Pacific,NA,,NA,,,,,
